"","value"
"tperiod",5
"ncycles",5
"t_start",0
"t_stop",30
"t_step",0.05
"u01",2
"u02",2
"K01",0.5
"K02",0.5
"b13",0.7
"b23",0.7
"b14",0.7
"b24",0.7
"b15",0.7
"b25",0.7
"b36",0.8
"b46",0.8
"b56",0.8
"h13",1.5
"h23",1.5
"h24",1.5
"h15",1.5
"h14",1.5
"h25",1.5
"h36",1.7
"h46",1.7
"h56",1.7
"e13",0.95
"e23",0.95
"e24",0.95
"e15",0.95
"e14",0.95
"e25",0.95
"e36",0.8
"e46",0.8
"e56",0.8
"q13",1
"q23",1
"q24",1
"q15",1
"q14",1
"q25",1
"q36",1
"q46",1
"q56",1
"m0",0
"m1",0
"m2",0
"m3",0
"m4",0
"m5",0
"m6",0.05
